# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 9.99800e+02 3.32412e+01 3.32412e+01
1.25000e+00 9.74900e+02 2.34327e+01 2.34327e+01
1.42000e+00 9.14400e+02 1.83657e+01 1.83657e+01
1.61000e+00 8.40400e+02 1.46932e+01 1.46932e+01
1.81000e+00 7.39400e+02 1.17686e+01 1.17686e+01
2.04000e+00 6.30200e+02 9.34719e+00 9.34719e+00
2.27000e+00 5.48900e+02 7.78267e+00 7.78267e+00
2.54000e+00 4.62800e+02 6.35295e+00 6.35295e+00
2.82000e+00 3.92700e+02 5.23546e+00 5.23546e+00
3.13000e+00 3.27800e+02 4.25441e+00 4.25441e+00
3.46000e+00 2.74900e+02 3.58469e+00 3.58469e+00
3.83000e+00 2.24900e+02 2.86531e+00 2.86531e+00
4.22000e+00 1.84400e+02 2.28254e+00 2.28254e+00
4.65000e+00 1.50000e+02 1.83576e+00 1.83576e+00
5.12000e+00 1.21800e+02 1.52643e+00 1.52643e+00
5.63000e+00 9.89700e+01 1.25032e+00 1.25032e+00
6.19000e+00 7.97500e+01 1.01356e+00 1.01356e+00
6.78000e+00 6.48100e+01 8.24924e-01 8.24924e-01
7.42000e+00 5.18300e+01 6.68880e-01 6.68880e-01
8.12000e+00 4.12300e+01 5.43783e-01 5.43783e-01
8.87000e+00 3.39200e+01 4.54863e-01 4.54863e-01
9.68000e+00 2.66900e+01 3.66197e-01 3.66197e-01
1.06000e+01 2.12900e+01 2.94109e-01 2.94109e-01
1.20000e+01 1.55900e+01 2.05913e-01 2.05913e-01
1.48000e+01 9.22800e+00 1.19867e-01 1.19867e-01
1.97000e+01 4.33300e+00 5.68595e-02 5.68595e-02
2.81000e+01 1.66100e+00 2.28473e-02 2.28473e-02
4.10000e+01 5.84600e-01 8.68217e-03 8.68217e-03
5.91000e+01 2.08000e-01 3.47131e-03 3.47131e-03
8.48000e+01 7.63000e-02 1.54564e-03 1.54564e-03
