# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 4.70100e+01 1.34525e+00 1.34525e+00
2.04000e+00 4.70000e+01 1.11212e+00 1.11212e+00
2.27000e+00 4.61700e+01 9.65401e-01 9.65401e-01
2.54000e+00 4.43500e+01 8.30963e-01 8.30963e-01
2.82000e+00 4.00100e+01 7.09366e-01 7.09366e-01
3.13000e+00 3.69000e+01 6.31269e-01 6.31269e-01
3.46000e+00 3.26700e+01 5.32635e-01 5.32635e-01
3.83000e+00 2.89100e+01 4.56070e-01 4.56070e-01
4.22000e+00 2.50800e+01 3.92046e-01 3.92046e-01
4.65000e+00 2.17300e+01 3.36006e-01 3.36006e-01
5.12000e+00 1.84600e+01 2.86007e-01 2.86007e-01
5.63000e+00 1.53700e+01 2.36008e-01 2.36008e-01
6.19000e+00 1.28300e+01 2.00000e-01 2.00000e-01
6.78000e+00 1.07500e+01 1.72047e-01 1.72047e-01
7.42000e+00 8.77200e+00 1.39201e-01 1.39201e-01
8.12000e+00 7.23100e+00 1.16825e-01 1.16825e-01
8.87000e+00 5.95200e+00 9.74526e-02 9.74526e-02
9.68000e+00 4.83600e+00 8.09197e-02 8.09197e-02
1.06000e+01 3.83000e+00 6.51920e-02 6.51920e-02
1.20000e+01 2.88000e+00 4.41022e-02 4.41022e-02
1.48000e+01 1.71100e+00 2.64197e-02 2.64197e-02
1.97000e+01 8.51500e-01 1.29711e-02 1.29711e-02
2.81000e+01 3.39300e-01 5.42033e-03 5.42033e-03
4.10000e+01 1.22800e-01 2.20227e-03 2.20227e-03
5.91000e+01 4.46700e-02 9.68762e-04 9.68762e-04
8.48000e+01 1.65300e-02 4.48219e-04 4.48219e-04
