# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 1.35400e+03 3.86394e+01 3.86394e+01
1.25000e+00 1.27800e+03 2.86356e+01 2.86356e+01
1.42000e+00 1.17300e+03 2.15870e+01 2.15870e+01
1.61000e+00 1.04900e+03 1.74642e+01 1.74642e+01
1.81000e+00 9.11100e+02 1.34629e+01 1.34629e+01
2.04000e+00 7.79400e+02 1.06042e+01 1.06042e+01
2.27000e+00 6.54300e+02 8.47703e+00 8.47703e+00
2.54000e+00 5.43300e+02 6.70522e+00 6.70522e+00
2.82000e+00 4.49600e+02 5.34509e+00 5.34509e+00
3.13000e+00 3.70300e+02 4.30116e+00 4.30116e+00
3.46000e+00 3.03400e+02 3.47851e+00 3.47851e+00
3.83000e+00 2.50000e+02 2.84605e+00 2.84605e+00
4.22000e+00 1.99700e+02 2.21359e+00 2.21359e+00
4.65000e+00 1.63500e+02 1.80278e+00 1.80278e+00
5.12000e+00 1.31300e+02 1.48661e+00 1.48661e+00
5.63000e+00 1.04900e+02 1.17047e+00 1.17047e+00
6.19000e+00 8.44800e+01 9.48683e-01 9.48683e-01
6.78000e+00 6.79300e+01 7.71622e-01 7.71622e-01
7.42000e+00 5.46100e+01 6.22977e-01 6.22977e-01
8.12000e+00 4.34800e+01 4.99800e-01 4.99800e-01
8.87000e+00 3.46500e+01 4.04969e-01 4.04969e-01
9.68000e+00 2.77100e+01 3.23110e-01 3.23110e-01
1.06000e+01 2.23500e+01 2.69258e-01 2.69258e-01
1.20000e+01 1.59900e+01 1.89737e-01 1.89737e-01
1.48000e+01 9.29500e+00 1.09895e-01 1.09895e-01
1.97000e+01 4.31500e+00 5.26308e-02 5.26308e-02
2.81000e+01 1.67600e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.80600e-01 7.63217e-03 7.63217e-03
5.91000e+01 2.06200e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.54200e-02 1.15603e-03 1.15603e-03
