# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 8.29300e+01 1.97800e+00 1.97800e+00
2.04000e+00 7.72800e+01 1.51400e+00 1.51400e+00
2.27000e+00 7.00800e+01 1.23434e+00 1.23434e+00
2.54000e+00 6.31100e+01 1.02069e+00 1.02069e+00
2.82000e+00 5.62200e+01 8.65563e-01 8.65563e-01
3.13000e+00 4.84400e+01 7.37564e-01 7.37564e-01
3.46000e+00 4.16800e+01 6.23699e-01 6.23699e-01
3.83000e+00 3.56000e+01 5.18556e-01 5.18556e-01
4.22000e+00 3.00000e+01 4.34166e-01 4.34166e-01
4.65000e+00 2.52500e+01 3.62353e-01 3.62353e-01
5.12000e+00 2.04500e+01 2.92062e-01 2.92062e-01
5.63000e+00 1.66600e+01 2.42074e-01 2.42074e-01
6.19000e+00 1.37600e+01 2.06155e-01 2.06155e-01
6.78000e+00 1.11400e+01 1.70294e-01 1.70294e-01
7.42000e+00 9.16800e+00 1.37000e-01 1.37000e-01
8.12000e+00 7.31800e+00 1.12699e-01 1.12699e-01
8.87000e+00 5.94000e+00 9.34345e-02 9.34345e-02
9.68000e+00 4.80700e+00 7.71038e-02 7.71038e-02
1.06000e+01 3.95600e+00 6.43506e-02 6.43506e-02
1.20000e+01 2.86300e+00 4.22019e-02 4.22019e-02
1.48000e+01 1.69800e+00 2.38537e-02 2.38537e-02
1.97000e+01 8.21700e-01 1.18849e-02 1.18849e-02
2.81000e+01 3.24800e-01 4.90918e-03 4.90918e-03
4.10000e+01 1.20000e-01 2.12603e-03 2.12603e-03
5.91000e+01 4.54000e-02 9.63328e-04 9.63328e-04
8.48000e+01 1.61500e-02 4.44072e-04 4.44072e-04
