# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 4.58100e+02 1.58152e+01 1.58152e+01
1.25000e+00 4.82900e+02 1.24193e+01 1.24193e+01
1.42000e+00 4.92600e+02 9.93277e+00 9.93277e+00
1.61000e+00 4.81600e+02 8.22192e+00 8.22192e+00
1.81000e+00 4.61900e+02 6.98928e+00 6.98928e+00
2.04000e+00 4.23900e+02 5.94643e+00 5.94643e+00
2.27000e+00 3.87900e+02 5.12640e+00 5.12640e+00
2.54000e+00 3.43300e+02 4.33244e+00 4.33244e+00
2.82000e+00 3.01500e+02 3.70000e+00 3.70000e+00
3.13000e+00 2.62900e+02 3.06757e+00 3.06757e+00
3.46000e+00 2.25900e+02 2.65707e+00 2.65707e+00
3.83000e+00 1.92400e+02 2.21359e+00 2.21359e+00
4.22000e+00 1.62000e+02 1.80278e+00 1.80278e+00
4.65000e+00 1.35100e+02 1.48661e+00 1.48661e+00
5.12000e+00 1.11700e+02 1.26491e+00 1.26491e+00
5.63000e+00 9.18300e+01 1.03407e+00 1.03407e+00
6.19000e+00 7.50700e+01 8.57030e-01 8.57030e-01
6.78000e+00 6.13000e+01 6.98928e-01 6.98928e-01
7.42000e+00 4.99500e+01 5.72451e-01 5.72451e-01
8.12000e+00 4.03100e+01 4.68188e-01 4.68188e-01
8.87000e+00 3.24200e+01 3.82753e-01 3.82753e-01
9.68000e+00 2.63400e+01 3.10161e-01 3.10161e-01
1.06000e+01 2.11500e+01 2.50799e-01 2.50799e-01
1.20000e+01 1.54700e+01 1.77200e-01 1.77200e-01
1.48000e+01 9.01200e+00 1.07703e-01 1.07703e-01
1.97000e+01 4.29400e+00 5.26308e-02 5.26308e-02
2.81000e+01 1.66800e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.80300e-01 7.63217e-03 7.63217e-03
5.91000e+01 2.05600e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.45200e-02 1.14403e-03 1.14403e-03
