# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 1.45100e+03 4.06079e+01 4.06079e+01
1.25000e+00 1.37900e+03 3.05941e+01 3.05941e+01
1.42000e+00 1.25100e+03 2.35372e+01 2.35372e+01
1.61000e+00 1.10800e+03 1.74642e+01 1.74642e+01
1.81000e+00 9.64700e+02 1.39718e+01 1.39718e+01
2.04000e+00 8.30000e+02 1.11126e+01 1.11126e+01
2.27000e+00 6.94500e+02 8.79318e+00 8.79318e+00
2.54000e+00 5.76700e+02 6.99214e+00 6.99214e+00
2.82000e+00 4.74200e+02 5.53624e+00 5.53624e+00
3.13000e+00 3.91600e+02 4.42719e+00 4.42719e+00
3.46000e+00 3.18700e+02 3.57351e+00 3.57351e+00
3.83000e+00 2.56700e+02 2.84605e+00 2.84605e+00
4.22000e+00 2.08700e+02 2.30868e+00 2.30868e+00
4.65000e+00 1.69600e+02 1.89737e+00 1.89737e+00
5.12000e+00 1.35800e+02 1.48661e+00 1.48661e+00
5.63000e+00 1.09200e+02 1.17047e+00 1.17047e+00
6.19000e+00 8.69700e+01 9.61353e-01 9.61353e-01
6.78000e+00 6.94300e+01 7.71622e-01 7.71622e-01
7.42000e+00 5.59600e+01 6.26259e-01 6.26259e-01
8.12000e+00 4.44100e+01 4.99800e-01 4.99800e-01
8.87000e+00 3.55400e+01 4.04969e-01 4.04969e-01
9.68000e+00 2.84300e+01 3.23110e-01 3.23110e-01
1.06000e+01 2.26200e+01 2.60000e-01 2.60000e-01
1.20000e+01 1.61900e+01 1.89737e-01 1.89737e-01
1.48000e+01 9.38300e+00 1.08931e-01 1.08931e-01
1.97000e+01 4.35300e+00 5.16624e-02 5.16624e-02
2.81000e+01 1.66500e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.77800e-01 7.44648e-03 7.44648e-03
5.91000e+01 2.08400e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.50300e-02 1.13230e-03 1.13230e-03
