# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 1.29900e+03 3.68782e+01 3.68782e+01
1.25000e+00 1.22500e+03 2.78927e+01 2.78927e+01
1.42000e+00 1.14300e+03 2.18403e+01 2.18403e+01
1.61000e+00 1.00300e+03 1.67631e+01 1.67631e+01
1.81000e+00 8.91100e+02 1.32197e+01 1.32197e+01
2.04000e+00 7.55400e+02 1.04043e+01 1.04043e+01
2.27000e+00 6.38700e+02 8.34865e+00 8.34865e+00
2.54000e+00 5.29200e+02 6.54599e+00 6.54599e+00
2.82000e+00 4.40100e+02 5.28110e+00 5.28110e+00
3.13000e+00 3.65600e+02 4.23792e+00 4.23792e+00
3.46000e+00 3.01700e+02 3.51141e+00 3.51141e+00
3.83000e+00 2.46800e+02 2.84605e+00 2.84605e+00
4.22000e+00 1.99200e+02 2.21359e+00 2.21359e+00
4.65000e+00 1.61900e+02 1.80278e+00 1.80278e+00
5.12000e+00 1.29800e+02 1.48661e+00 1.48661e+00
5.63000e+00 1.04800e+02 1.17047e+00 1.17047e+00
6.19000e+00 8.37300e+01 9.42444e-01 9.42444e-01
6.78000e+00 6.73800e+01 7.62168e-01 7.62168e-01
7.42000e+00 5.38300e+01 6.16847e-01 6.16847e-01
8.12000e+00 4.32300e+01 4.99800e-01 4.99800e-01
8.87000e+00 3.44300e+01 4.08534e-01 4.08534e-01
9.68000e+00 2.77100e+01 3.23110e-01 3.23110e-01
1.06000e+01 2.20100e+01 2.60000e-01 2.60000e-01
1.20000e+01 1.58700e+01 1.89737e-01 1.89737e-01
1.48000e+01 9.23000e+00 1.09895e-01 1.09895e-01
1.97000e+01 4.31400e+00 5.26308e-02 5.26308e-02
2.81000e+01 1.65900e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.79400e-01 7.63217e-03 7.63217e-03
5.91000e+01 2.07000e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.46100e-02 1.14809e-03 1.14809e-03
