# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 1.18600e+02 3.00167e+00 3.00167e+00
2.04000e+00 1.06100e+02 2.24722e+00 2.24722e+00
2.27000e+00 9.31600e+01 1.74256e+00 1.74256e+00
2.54000e+00 7.90100e+01 1.32801e+00 1.32801e+00
2.82000e+00 6.82100e+01 1.09202e+00 1.09202e+00
3.13000e+00 5.75800e+01 9.09065e-01 9.09065e-01
3.46000e+00 4.79600e+01 7.31095e-01 7.31095e-01
3.83000e+00 4.02200e+01 5.90339e-01 5.90339e-01
4.22000e+00 3.38300e+01 4.98197e-01 4.98197e-01
4.65000e+00 2.76100e+01 4.06079e-01 4.06079e-01
5.12000e+00 2.23100e+01 3.20156e-01 3.20156e-01
5.63000e+00 1.82700e+01 2.70185e-01 2.70185e-01
6.19000e+00 1.49200e+01 2.20227e-01 2.20227e-01
6.78000e+00 1.20500e+01 1.78045e-01 1.78045e-01
7.42000e+00 9.94400e+00 1.50446e-01 1.50446e-01
8.12000e+00 8.05500e+00 1.24740e-01 1.24740e-01
8.87000e+00 6.38900e+00 1.01237e-01 1.01237e-01
9.68000e+00 5.15000e+00 8.34506e-02 8.34506e-02
1.06000e+01 4.10500e+00 6.85930e-02 6.85930e-02
1.20000e+01 2.99200e+00 4.50000e-02 4.50000e-02
1.48000e+01 1.78700e+00 2.60768e-02 2.60768e-02
1.97000e+01 8.59200e-01 1.25718e-02 1.25718e-02
2.81000e+01 3.46000e-01 5.32541e-03 5.32541e-03
4.10000e+01 1.24500e-01 2.19317e-03 2.19317e-03
5.91000e+01 4.40200e-02 9.71854e-04 9.71854e-04
8.48000e+01 1.65600e-02 4.66154e-04 4.66154e-04
