# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 4.78600e+01 1.35915e+00 1.35915e+00
2.04000e+00 4.73600e+01 1.10422e+00 1.10422e+00
2.27000e+00 4.61300e+01 9.50158e-01 9.50158e-01
2.54000e+00 4.30700e+01 8.08084e-01 8.08084e-01
2.82000e+00 3.99300e+01 6.95270e-01 6.95270e-01
3.13000e+00 3.63500e+01 6.09590e-01 6.09590e-01
3.46000e+00 3.32600e+01 5.39073e-01 5.39073e-01
3.83000e+00 2.86700e+01 4.54533e-01 4.54533e-01
4.22000e+00 2.51000e+01 3.84187e-01 3.84187e-01
4.65000e+00 2.11600e+01 3.20156e-01 3.20156e-01
5.12000e+00 1.82800e+01 2.78029e-01 2.78029e-01
5.63000e+00 1.50800e+01 2.28035e-01 2.28035e-01
6.19000e+00 1.28800e+01 2.00000e-01 2.00000e-01
6.78000e+00 1.05500e+01 1.64012e-01 1.64012e-01
7.42000e+00 8.77700e+00 1.37437e-01 1.37437e-01
8.12000e+00 7.25000e+00 1.14477e-01 1.14477e-01
8.87000e+00 5.85500e+00 9.43663e-02 9.43663e-02
9.68000e+00 4.87600e+00 8.08084e-02 8.08084e-02
1.06000e+01 3.92400e+00 6.58559e-02 6.58559e-02
1.20000e+01 2.89800e+00 4.38292e-02 4.38292e-02
1.48000e+01 1.72500e+00 2.55539e-02 2.55539e-02
1.97000e+01 8.45000e-01 1.26657e-02 1.26657e-02
2.81000e+01 3.38600e-01 5.30000e-03 5.30000e-03
4.10000e+01 1.24700e-01 2.20227e-03 2.20227e-03
5.91000e+01 4.60600e-02 9.90353e-04 9.90353e-04
8.48000e+01 1.65800e-02 4.56070e-04 4.56070e-04
