# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 1.39500e+03 3.96232e+01 3.96232e+01
1.25000e+00 1.32400e+03 2.96142e+01 2.96142e+01
1.42000e+00 1.20600e+03 2.25610e+01 2.25610e+01
1.61000e+00 1.08400e+03 1.74642e+01 1.74642e+01
1.81000e+00 9.39300e+02 1.38495e+01 1.38495e+01
2.04000e+00 7.96400e+02 1.08931e+01 1.08931e+01
2.27000e+00 6.68400e+02 8.66833e+00 8.66833e+00
2.54000e+00 5.54000e+02 6.89638e+00 6.89638e+00
2.82000e+00 4.56400e+02 5.44059e+00 5.44059e+00
3.13000e+00 3.78600e+02 4.39659e+00 4.39659e+00
3.46000e+00 3.08500e+02 3.57351e+00 3.57351e+00
3.83000e+00 2.50900e+02 2.84605e+00 2.84605e+00
4.22000e+00 2.03600e+02 2.30868e+00 2.30868e+00
4.65000e+00 1.65700e+02 1.89737e+00 1.89737e+00
5.12000e+00 1.33000e+02 1.45602e+00 1.45602e+00
5.63000e+00 1.06700e+02 1.17047e+00 1.17047e+00
6.19000e+00 8.56400e+01 9.67678e-01 9.67678e-01
6.78000e+00 6.89200e+01 7.81089e-01 7.81089e-01
7.42000e+00 5.48800e+01 6.22977e-01 6.22977e-01
8.12000e+00 4.39300e+01 5.09215e-01 5.09215e-01
8.87000e+00 3.51200e+01 4.14367e-01 4.14367e-01
9.68000e+00 2.80300e+01 3.32415e-01 3.32415e-01
1.06000e+01 2.25300e+01 2.69258e-01 2.69258e-01
1.20000e+01 1.61800e+01 1.89737e-01 1.89737e-01
1.48000e+01 9.32500e+00 1.11826e-01 1.11826e-01
1.97000e+01 4.35900e+00 5.36004e-02 5.36004e-02
2.81000e+01 1.67800e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.89200e-01 7.72528e-03 7.72528e-03
5.91000e+01 2.09100e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.47600e-02 1.14202e-03 1.14202e-03
