# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 4.27200e+01 1.24852e+00 1.24852e+00
2.04000e+00 4.30900e+01 1.03856e+00 1.03856e+00
2.27000e+00 4.17300e+01 8.85268e-01 8.85268e-01
2.54000e+00 4.07600e+01 7.64853e-01 7.64853e-01
2.82000e+00 3.79900e+01 6.66033e-01 6.66033e-01
3.13000e+00 3.51600e+01 5.87282e-01 5.87282e-01
3.46000e+00 3.12000e+01 5.02494e-01 5.02494e-01
3.83000e+00 2.75300e+01 4.39318e-01 4.39318e-01
4.22000e+00 2.43500e+01 3.76431e-01 3.76431e-01
4.65000e+00 2.07800e+01 3.12410e-01 3.12410e-01
5.12000e+00 1.78500e+01 2.70185e-01 2.70185e-01
5.63000e+00 1.49100e+01 2.28035e-01 2.28035e-01
6.19000e+00 1.24500e+01 1.92094e-01 1.92094e-01
6.78000e+00 1.02600e+01 1.56205e-01 1.56205e-01
7.42000e+00 8.44100e+00 1.30729e-01 1.30729e-01
8.12000e+00 6.93100e+00 1.08577e-01 1.08577e-01
8.87000e+00 5.66300e+00 9.06863e-02 9.06863e-02
9.68000e+00 4.75700e+00 7.71557e-02 7.71557e-02
1.06000e+01 3.76700e+00 6.29682e-02 6.29682e-02
1.20000e+01 2.83600e+00 4.24382e-02 4.24382e-02
1.48000e+01 1.72600e+00 2.55539e-02 2.55539e-02
1.97000e+01 8.32600e-01 1.21803e-02 1.21803e-02
2.81000e+01 3.38600e-01 5.16236e-03 5.16236e-03
4.10000e+01 1.21000e-01 2.12603e-03 2.12603e-03
5.91000e+01 4.45900e-02 9.55249e-04 9.55249e-04
8.48000e+01 1.63300e-02 4.42041e-04 4.42041e-04
