# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 5.35600e+01 1.46479e+00 1.46479e+00
2.04000e+00 5.44100e+01 1.20254e+00 1.20254e+00
2.27000e+00 5.13600e+01 1.00568e+00 1.00568e+00
2.54000e+00 4.74800e+01 8.35464e-01 8.35464e-01
2.82000e+00 4.35600e+01 7.15052e-01 7.15052e-01
3.13000e+00 3.94500e+01 6.29682e-01 6.29682e-01
3.46000e+00 3.42100e+01 5.30754e-01 5.30754e-01
3.83000e+00 2.98900e+01 4.46878e-01 4.46878e-01
4.22000e+00 2.54900e+01 3.82884e-01 3.82884e-01
4.65000e+00 2.18800e+01 3.26497e-01 3.26497e-01
5.12000e+00 1.81800e+01 2.70185e-01 2.70185e-01
5.63000e+00 1.52600e+01 2.20227e-01 2.20227e-01
6.19000e+00 1.27400e+01 1.92094e-01 1.92094e-01
6.78000e+00 1.03000e+01 1.56205e-01 1.56205e-01
7.42000e+00 8.51500e+00 1.29074e-01 1.29074e-01
8.12000e+00 6.86300e+00 1.06963e-01 1.06963e-01
8.87000e+00 5.61000e+00 8.84590e-02 8.84590e-02
9.68000e+00 4.70700e+00 7.56902e-02 7.56902e-02
1.06000e+01 3.73300e+00 6.15224e-02 6.15224e-02
1.20000e+01 2.78000e+00 4.08044e-02 4.08044e-02
1.48000e+01 1.66600e+00 2.38537e-02 2.38537e-02
1.97000e+01 8.22300e-01 1.18338e-02 1.18338e-02
2.81000e+01 3.33600e-01 5.07740e-03 5.07740e-03
4.10000e+01 1.20100e-01 2.12603e-03 2.12603e-03
5.91000e+01 4.49800e-02 9.55877e-04 9.55877e-04
8.48000e+01 1.61600e-02 4.36005e-04 4.36005e-04
