# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 1.00000e+03 2.96142e+01 2.96142e+01
1.25000e+00 9.90400e+02 2.28009e+01 2.28009e+01
1.42000e+00 9.40000e+02 1.79477e+01 1.79477e+01
1.61000e+00 8.54300e+02 1.41209e+01 1.41209e+01
1.81000e+00 7.60200e+02 1.12641e+01 1.12641e+01
2.04000e+00 6.69100e+02 9.10934e+00 9.10934e+00
2.27000e+00 5.71100e+02 7.36817e+00 7.36817e+00
2.54000e+00 4.86200e+02 5.97746e+00 5.97746e+00
2.82000e+00 4.09300e+02 4.83839e+00 4.83839e+00
3.13000e+00 3.40600e+02 3.92173e+00 3.92173e+00
3.46000e+00 2.80400e+02 3.16228e+00 3.16228e+00
3.83000e+00 2.31700e+02 2.62488e+00 2.62488e+00
4.22000e+00 1.88000e+02 2.11896e+00 2.11896e+00
4.65000e+00 1.54800e+02 1.67631e+00 1.67631e+00
5.12000e+00 1.25800e+02 1.36015e+00 1.36015e+00
5.63000e+00 1.00800e+02 1.17047e+00 1.17047e+00
6.19000e+00 8.17800e+01 9.20272e-01 9.20272e-01
6.78000e+00 6.54900e+01 7.30548e-01 7.30548e-01
7.42000e+00 5.25500e+01 5.94643e-01 5.94643e-01
8.12000e+00 4.23000e+01 4.90408e-01 4.90408e-01
8.87000e+00 3.35800e+01 3.95601e-01 3.95601e-01
9.68000e+00 2.69000e+01 3.13847e-01 3.13847e-01
1.06000e+01 2.13600e+01 2.50799e-01 2.50799e-01
1.20000e+01 1.54600e+01 1.77200e-01 1.77200e-01
1.48000e+01 9.05600e+00 1.06738e-01 1.06738e-01
1.97000e+01 4.27800e+00 5.16624e-02 5.16624e-02
2.81000e+01 1.62900e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.77500e-01 7.53923e-03 7.53923e-03
5.91000e+01 2.06100e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.44800e-02 1.13406e-03 1.13406e-03
