# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 6.14100e+01 1.88096e+00 1.88096e+00
2.04000e+00 5.93700e+01 1.50147e+00 1.50147e+00
2.27000e+00 5.98100e+01 1.29190e+00 1.29190e+00
2.54000e+00 5.33800e+01 1.02825e+00 1.02825e+00
2.82000e+00 4.68400e+01 8.57963e-01 8.57963e-01
3.13000e+00 4.22200e+01 7.59276e-01 7.59276e-01
3.46000e+00 3.64600e+01 6.23699e-01 6.23699e-01
3.83000e+00 3.15100e+01 5.09313e-01 5.09313e-01
4.22000e+00 2.69800e+01 4.24264e-01 4.24264e-01
4.65000e+00 2.26300e+01 3.53553e-01 3.53553e-01
5.12000e+00 1.89300e+01 2.90000e-01 2.90000e-01
5.63000e+00 1.58200e+01 2.47588e-01 2.47588e-01
6.19000e+00 1.29700e+01 2.05183e-01 2.05183e-01
6.78000e+00 1.06600e+01 1.69706e-01 1.69706e-01
7.42000e+00 8.82900e+00 1.40759e-01 1.40759e-01
8.12000e+00 7.13400e+00 1.15974e-01 1.15974e-01
8.87000e+00 5.91300e+00 9.75807e-02 9.75807e-02
9.68000e+00 4.66200e+00 7.99312e-02 7.99312e-02
1.06000e+01 3.88300e+00 6.79412e-02 6.79412e-02
1.20000e+01 2.83800e+00 4.34166e-02 4.34166e-02
1.48000e+01 1.70100e+00 2.58070e-02 2.58070e-02
1.97000e+01 8.25800e-01 1.22037e-02 1.22037e-02
2.81000e+01 3.29500e-01 5.16140e-03 5.16140e-03
4.10000e+01 1.20100e-01 2.19317e-03 2.19317e-03
5.91000e+01 4.33300e-02 9.82344e-04 9.82344e-04
8.48000e+01 1.63400e-02 4.68722e-04 4.68722e-04
