# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 6.64600e+01 1.69753e+00 1.69753e+00
2.04000e+00 6.57700e+01 1.36653e+00 1.36653e+00
2.27000e+00 6.02100e+01 1.11866e+00 1.11866e+00
2.54000e+00 5.49600e+01 9.27631e-01 9.27631e-01
2.82000e+00 4.88700e+01 7.78974e-01 7.78974e-01
3.13000e+00 4.32700e+01 6.72086e-01 6.72086e-01
3.46000e+00 3.77500e+01 5.80517e-01 5.80517e-01
3.83000e+00 3.26900e+01 4.89183e-01 4.89183e-01
4.22000e+00 2.74900e+01 4.04599e-01 4.04599e-01
4.65000e+00 2.31800e+01 3.40588e-01 3.40588e-01
5.12000e+00 1.92700e+01 2.84253e-01 2.84253e-01
5.63000e+00 1.58800e+01 2.34307e-01 2.34307e-01
6.19000e+00 1.31400e+01 1.98494e-01 1.98494e-01
6.78000e+00 1.06300e+01 1.56205e-01 1.56205e-01
7.42000e+00 8.78900e+00 1.32654e-01 1.32654e-01
8.12000e+00 7.12900e+00 1.09786e-01 1.09786e-01
8.87000e+00 5.80900e+00 9.12853e-02 9.12853e-02
9.68000e+00 4.81200e+00 7.71038e-02 7.71038e-02
1.06000e+01 3.90600e+00 6.43506e-02 6.43506e-02
1.20000e+01 2.83400e+00 4.22019e-02 4.22019e-02
1.48000e+01 1.68600e+00 2.38537e-02 2.38537e-02
1.97000e+01 8.41200e-01 1.21078e-02 1.21078e-02
2.81000e+01 3.32200e-01 4.99300e-03 4.99300e-03
4.10000e+01 1.19700e-01 2.12603e-03 2.12603e-03
5.91000e+01 4.55800e-02 9.70000e-04 9.70000e-04
8.48000e+01 1.67300e-02 4.50000e-04 4.50000e-04
