# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 1.26300e+03 3.56931e+01 3.56931e+01
1.25000e+00 1.21800e+03 2.76586e+01 2.76586e+01
1.42000e+00 1.13100e+03 2.15870e+01 2.15870e+01
1.61000e+00 1.02400e+03 1.64924e+01 1.64924e+01
1.81000e+00 8.95200e+02 1.30507e+01 1.30507e+01
2.04000e+00 7.67200e+02 1.03160e+01 1.03160e+01
2.27000e+00 6.55500e+02 8.35225e+00 8.35225e+00
2.54000e+00 5.49500e+02 6.58027e+00 6.58027e+00
2.82000e+00 4.54900e+02 5.34509e+00 5.34509e+00
3.13000e+00 3.74200e+02 4.30116e+00 4.30116e+00
3.46000e+00 3.07700e+02 3.47851e+00 3.47851e+00
3.83000e+00 2.49600e+02 2.72029e+00 2.72029e+00
4.22000e+00 2.04300e+02 2.21359e+00 2.21359e+00
4.65000e+00 1.64500e+02 1.80278e+00 1.80278e+00
5.12000e+00 1.32900e+02 1.45602e+00 1.45602e+00
5.63000e+00 1.07500e+02 1.17047e+00 1.17047e+00
6.19000e+00 8.62600e+01 9.48683e-01 9.48683e-01
6.78000e+00 6.91200e+01 7.62168e-01 7.62168e-01
7.42000e+00 5.46100e+01 6.04070e-01 6.04070e-01
8.12000e+00 4.36800e+01 4.90408e-01 4.90408e-01
8.87000e+00 3.52000e+01 4.04969e-01 4.04969e-01
9.68000e+00 2.76700e+01 3.23110e-01 3.23110e-01
1.06000e+01 2.24900e+01 2.60000e-01 2.60000e-01
1.20000e+01 1.60500e+01 1.86815e-01 1.86815e-01
1.48000e+01 9.22600e+00 1.07968e-01 1.07968e-01
1.97000e+01 4.33100e+00 5.16624e-02 5.16624e-02
2.81000e+01 1.66000e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.85200e-01 7.53923e-03 7.53923e-03
5.91000e+01 2.06300e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.61800e-02 1.14018e-03 1.14018e-03
