# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 1.13400e+02 2.81780e+00 2.81780e+00
2.04000e+00 1.01200e+02 2.10950e+00 2.10950e+00
2.27000e+00 9.03200e+01 1.64259e+00 1.64259e+00
2.54000e+00 7.66500e+01 1.26400e+00 1.26400e+00
2.82000e+00 6.53500e+01 1.02616e+00 1.02616e+00
3.13000e+00 5.64900e+01 8.68332e-01 8.68332e-01
3.46000e+00 4.72300e+01 7.04344e-01 7.04344e-01
3.83000e+00 3.86400e+01 5.62228e-01 5.62228e-01
4.22000e+00 3.23000e+01 4.70106e-01 4.70106e-01
4.65000e+00 2.72800e+01 3.92046e-01 3.92046e-01
5.12000e+00 2.21300e+01 3.14006e-01 3.14006e-01
5.63000e+00 1.79900e+01 2.56125e-01 2.56125e-01
6.19000e+00 1.48100e+01 2.14009e-01 2.14009e-01
6.78000e+00 1.18200e+01 1.78045e-01 1.78045e-01
7.42000e+00 9.44500e+00 1.41993e-01 1.41993e-01
8.12000e+00 7.60900e+00 1.16276e-01 1.16276e-01
8.87000e+00 6.24200e+00 9.77446e-02 9.77446e-02
9.68000e+00 5.14100e+00 8.20731e-02 8.20731e-02
1.06000e+01 4.05400e+00 6.71789e-02 6.71789e-02
1.20000e+01 3.04100e+00 4.44072e-02 4.44072e-02
1.48000e+01 1.75400e+00 2.52389e-02 2.52389e-02
1.97000e+01 8.58500e-01 1.23309e-02 1.23309e-02
2.81000e+01 3.37300e-01 5.13128e-03 5.13128e-03
4.10000e+01 1.21900e-01 2.12603e-03 2.12603e-03
5.91000e+01 4.31900e-02 9.36056e-04 9.36056e-04
8.48000e+01 1.63700e-02 4.44072e-04 4.44072e-04
