# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 8.36200e+01 1.99181e+00 1.99181e+00
2.04000e+00 7.39500e+01 1.45602e+00 1.45602e+00
2.27000e+00 6.79200e+01 1.19206e+00 1.19206e+00
2.54000e+00 6.15600e+01 9.85951e-01 9.85951e-01
2.82000e+00 5.54600e+01 8.45044e-01 8.45044e-01
3.13000e+00 4.83200e+01 7.23464e-01 7.23464e-01
3.46000e+00 4.21900e+01 6.24820e-01 6.24820e-01
3.83000e+00 3.62500e+01 5.26308e-01 5.26308e-01
4.22000e+00 2.98100e+01 4.26380e-01 4.26380e-01
4.65000e+00 2.49500e+01 3.56090e-01 3.56090e-01
5.12000e+00 2.04600e+01 2.92062e-01 2.92062e-01
5.63000e+00 1.71000e+01 2.42074e-01 2.42074e-01
6.19000e+00 1.42000e+01 2.06155e-01 2.06155e-01
6.78000e+00 1.11800e+01 1.64012e-01 1.64012e-01
7.42000e+00 9.26700e+00 1.37277e-01 1.37277e-01
8.12000e+00 7.58200e+00 1.14337e-01 1.14337e-01
8.87000e+00 6.25000e+00 9.57758e-02 9.57758e-02
9.68000e+00 5.05500e+00 7.93095e-02 7.93095e-02
1.06000e+01 4.05700e+00 6.51153e-02 6.51153e-02
1.20000e+01 2.91700e+00 4.24382e-02 4.24382e-02
1.48000e+01 1.78800e+00 2.55539e-02 2.55539e-02
1.97000e+01 8.55500e-01 1.21803e-02 1.21803e-02
2.81000e+01 3.43400e-01 5.16236e-03 5.16236e-03
4.10000e+01 1.23200e-01 2.12603e-03 2.12603e-03
5.91000e+01 4.57000e-02 9.47945e-04 9.47945e-04
8.48000e+01 1.68000e-02 4.42041e-04 4.42041e-04
