# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 8.09700e+02 2.41238e+01 2.41238e+01
1.25000e+00 8.06600e+02 1.87011e+01 1.87011e+01
1.42000e+00 7.73100e+02 1.46997e+01 1.46997e+01
1.61000e+00 7.10400e+02 1.16760e+01 1.16760e+01
1.81000e+00 6.50700e+02 9.61665e+00 9.61665e+00
2.04000e+00 5.75400e+02 7.87464e+00 7.87464e+00
2.27000e+00 4.95100e+02 6.32456e+00 6.32456e+00
2.54000e+00 4.32300e+02 5.28110e+00 5.28110e+00
2.82000e+00 3.67700e+02 4.33244e+00 4.33244e+00
3.13000e+00 3.08900e+02 3.60555e+00 3.60555e+00
3.46000e+00 2.60700e+02 2.97321e+00 2.97321e+00
3.83000e+00 2.17100e+02 2.43516e+00 2.43516e+00
4.22000e+00 1.79200e+02 1.99249e+00 1.99249e+00
4.65000e+00 1.48200e+02 1.58114e+00 1.58114e+00
5.12000e+00 1.21500e+02 1.36015e+00 1.36015e+00
5.63000e+00 9.88500e+01 1.07838e+00 1.07838e+00
6.19000e+00 7.99700e+01 8.88651e-01 8.88651e-01
6.78000e+00 6.48000e+01 7.21110e-01 7.21110e-01
7.42000e+00 5.23900e+01 5.85235e-01 5.85235e-01
8.12000e+00 4.19300e+01 4.71699e-01 4.71699e-01
8.87000e+00 3.37500e+01 3.86264e-01 3.86264e-01
9.68000e+00 2.72200e+01 3.13847e-01 3.13847e-01
1.06000e+01 2.18800e+01 2.60000e-01 2.60000e-01
1.20000e+01 1.58600e+01 1.77200e-01 1.77200e-01
1.48000e+01 9.22500e+00 1.07968e-01 1.07968e-01
1.97000e+01 4.32000e+00 5.16624e-02 5.16624e-02
2.81000e+01 1.66500e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.83000e-01 7.53923e-03 7.53923e-03
5.91000e+01 2.08500e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.57700e-02 1.14018e-03 1.14018e-03
