# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 4.67200e+01 1.31746e+00 1.31746e+00
2.04000e+00 4.83400e+01 1.09202e+00 1.09202e+00
2.27000e+00 4.74800e+01 9.43663e-01 9.43663e-01
2.54000e+00 4.41400e+01 7.93977e-01 7.93977e-01
2.82000e+00 4.02800e+01 6.80147e-01 6.80147e-01
3.13000e+00 3.56200e+01 5.80517e-01 5.80517e-01
3.46000e+00 3.12800e+01 4.95782e-01 4.95782e-01
3.83000e+00 2.85200e+01 4.32782e-01 4.32782e-01
4.22000e+00 2.55700e+01 3.76431e-01 3.76431e-01
4.65000e+00 2.16500e+01 3.20156e-01 3.20156e-01
5.12000e+00 1.79800e+01 2.64008e-01 2.64008e-01
5.63000e+00 1.49000e+01 2.20227e-01 2.20227e-01
6.19000e+00 1.26300e+01 1.92094e-01 1.92094e-01
6.78000e+00 1.03600e+01 1.56205e-01 1.56205e-01
7.42000e+00 8.87600e+00 1.33686e-01 1.33686e-01
8.12000e+00 7.20200e+00 1.10752e-01 1.10752e-01
8.87000e+00 5.83300e+00 9.14385e-02 9.14385e-02
9.68000e+00 4.84700e+00 7.78974e-02 7.78974e-02
1.06000e+01 3.87000e+00 6.29682e-02 6.29682e-02
1.20000e+01 2.85800e+00 4.24382e-02 4.24382e-02
1.48000e+01 1.71400e+00 2.46982e-02 2.46982e-02
1.97000e+01 8.49600e-01 1.22674e-02 1.22674e-02
2.81000e+01 3.38700e-01 5.16236e-03 5.16236e-03
4.10000e+01 1.24900e-01 2.20227e-03 2.20227e-03
5.91000e+01 4.60300e-02 9.62081e-04 9.62081e-04
8.48000e+01 1.73100e-02 4.56070e-04 4.56070e-04
