# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 5.85100e+02 1.88298e+01 1.88298e+01
1.25000e+00 6.03800e+02 1.46986e+01 1.46986e+01
1.42000e+00 5.83900e+02 1.14018e+01 1.14018e+01
1.61000e+00 5.56000e+02 9.30054e+00 9.30054e+00
1.81000e+00 5.13600e+02 7.68440e+00 7.68440e+00
2.04000e+00 4.62200e+02 6.41950e+00 6.41950e+00
2.27000e+00 4.13100e+02 5.37587e+00 5.37587e+00
2.54000e+00 3.60300e+02 4.42719e+00 4.42719e+00
2.82000e+00 3.12500e+02 3.70000e+00 3.70000e+00
3.13000e+00 2.67600e+02 3.06757e+00 3.06757e+00
3.46000e+00 2.26500e+02 2.56320e+00 2.56320e+00
3.83000e+00 1.90500e+02 2.11896e+00 2.11896e+00
4.22000e+00 1.59700e+02 1.80278e+00 1.80278e+00
4.65000e+00 1.32800e+02 1.48661e+00 1.48661e+00
5.12000e+00 1.08300e+02 1.17047e+00 1.17047e+00
5.63000e+00 8.91500e+01 9.92975e-01 9.92975e-01
6.19000e+00 7.25900e+01 8.15966e-01 8.15966e-01
6.78000e+00 5.91400e+01 6.67308e-01 6.67308e-01
7.42000e+00 4.79500e+01 5.40833e-01 5.40833e-01
8.12000e+00 3.89700e+01 4.49444e-01 4.49444e-01
8.87000e+00 3.14000e+01 3.64005e-01 3.64005e-01
9.68000e+00 2.52900e+01 2.91548e-01 2.91548e-01
1.06000e+01 2.04600e+01 2.37697e-01 2.37697e-01
1.20000e+01 1.49200e+01 1.77200e-01 1.77200e-01
1.48000e+01 8.71500e+00 1.02616e-01 1.02616e-01
1.97000e+01 4.14100e+00 4.94773e-02 4.94773e-02
2.81000e+01 1.61600e+00 1.96469e-02 1.96469e-02
4.10000e+01 5.69900e-01 7.40945e-03 7.40945e-03
5.91000e+01 2.05900e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.42700e-02 1.12801e-03 1.12801e-03
