# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 4.62300e+02 1.46741e+01 1.46741e+01
1.25000e+00 4.76800e+02 1.15521e+01 1.15521e+01
1.42000e+00 4.75900e+02 9.36056e+00 9.36056e+00
1.61000e+00 4.67900e+02 7.84347e+00 7.84347e+00
1.81000e+00 4.44300e+02 6.70671e+00 6.70671e+00
2.04000e+00 4.13600e+02 5.72451e+00 5.72451e+00
2.27000e+00 3.74100e+02 4.90408e+00 4.90408e+00
2.54000e+00 3.34200e+02 4.14367e+00 4.14367e+00
2.82000e+00 2.90700e+02 3.51141e+00 3.51141e+00
3.13000e+00 2.52700e+02 2.97321e+00 2.97321e+00
3.46000e+00 2.19200e+02 2.46982e+00 2.46982e+00
3.83000e+00 1.86600e+02 2.11896e+00 2.11896e+00
4.22000e+00 1.58000e+02 1.80278e+00 1.80278e+00
4.65000e+00 1.31400e+02 1.48661e+00 1.48661e+00
5.12000e+00 1.08700e+02 1.17047e+00 1.17047e+00
5.63000e+00 8.97700e+01 9.86813e-01 9.86813e-01
6.19000e+00 7.34900e+01 8.15966e-01 8.15966e-01
6.78000e+00 5.98000e+01 6.67308e-01 6.67308e-01
7.42000e+00 4.85900e+01 5.44243e-01 5.44243e-01
8.12000e+00 3.93700e+01 4.49444e-01 4.49444e-01
8.87000e+00 3.18700e+01 3.64005e-01 3.64005e-01
9.68000e+00 2.58400e+01 3.00832e-01 3.00832e-01
1.06000e+01 2.08700e+01 2.46982e-01 2.46982e-01
1.20000e+01 1.50700e+01 1.77200e-01 1.77200e-01
1.48000e+01 8.91100e+00 1.03846e-01 1.03846e-01
1.97000e+01 4.24100e+00 5.04480e-02 5.04480e-02
2.81000e+01 1.63800e+00 2.06155e-02 2.06155e-02
4.10000e+01 5.77400e-01 7.40945e-03 7.40945e-03
5.91000e+01 2.07100e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.51900e-02 1.12004e-03 1.12004e-03
