# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 1.55200e+03 4.37379e+01 4.37379e+01
1.25000e+00 1.44700e+03 3.17805e+01 3.17805e+01
1.42000e+00 1.28700e+03 2.35372e+01 2.35372e+01
1.61000e+00 1.11800e+03 1.74642e+01 1.74642e+01
1.81000e+00 9.55100e+02 1.38752e+01 1.38752e+01
2.04000e+00 8.12400e+02 1.09202e+01 1.09202e+01
2.27000e+00 6.82100e+02 8.66833e+00 8.66833e+00
2.54000e+00 5.65700e+02 6.89638e+00 6.89638e+00
2.82000e+00 4.70000e+02 5.53624e+00 5.53624e+00
3.13000e+00 3.83300e+02 4.39659e+00 4.39659e+00
3.46000e+00 3.13800e+02 3.57351e+00 3.57351e+00
3.83000e+00 2.52800e+02 2.84605e+00 2.84605e+00
4.22000e+00 2.06500e+02 2.30868e+00 2.30868e+00
4.65000e+00 1.66400e+02 1.80278e+00 1.80278e+00
5.12000e+00 1.33100e+02 1.45602e+00 1.45602e+00
5.63000e+00 1.07300e+02 1.17047e+00 1.17047e+00
6.19000e+00 8.57900e+01 9.48683e-01 9.48683e-01
6.78000e+00 6.92100e+01 7.71622e-01 7.71622e-01
7.42000e+00 5.50200e+01 6.16847e-01 6.16847e-01
8.12000e+00 4.38900e+01 4.99800e-01 4.99800e-01
8.87000e+00 3.48900e+01 4.04969e-01 4.04969e-01
9.68000e+00 2.81500e+01 3.23110e-01 3.23110e-01
1.06000e+01 2.24100e+01 2.60000e-01 2.60000e-01
1.20000e+01 1.62200e+01 1.89737e-01 1.89737e-01
1.48000e+01 9.29000e+00 1.08931e-01 1.08931e-01
1.97000e+01 4.37000e+00 5.26308e-02 5.26308e-02
2.81000e+01 1.66700e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.86100e-01 7.53923e-03 7.53923e-03
5.91000e+01 2.07300e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.47000e-02 1.12614e-03 1.12614e-03
