# Kinetic Energy/nuc [GeV/nuc], LIS [(m^2 s sr GeV/n)^{-1}]
1.000000000000000021e-03 1.183350443236651017e+03
1.101184350600909259e-03 1.265357437307091459e+03
1.212606974008346170e-03 1.301750128597481762e+03
1.335303823207514449e-03 1.336851107569915030e+03
1.470415673413678426e-03 1.372796336595218463e+03
1.619198728441440058e-03 1.409678892064186812e+03
1.783036300272605387e-03 1.447476886360146864e+03
1.963451670413536923e-03 1.486153347606667921e+03
2.162122252620600916e-03 1.525660503775266079e+03
2.380895188671791791e-03 1.565938962252024567e+03
2.621804522186376319e-03 1.606915768948644200e+03
2.887090110166332362e-03 1.648503032499888832e+03
3.179218448089820605e-03 1.690596341707819647e+03
3.500905602178219084e-03 1.733072715273087169e+03
3.855142462049707727e-03 1.775789055093413253e+03
4.245222548546198800e-03 1.818580746986317081e+03
4.674772635277183071e-03 1.861259861090695949e+03
5.147786468584604827e-03 1.903614320785738300e+03
5.668661899440487553e-03 1.945407235231760751e+03
6.242241772511489609e-03 1.986375807291659612e+03
6.873858952556933556e-03 2.026232714763576723e+03
7.569385906793654577e-03 2.064666490180542951e+03
8.335289304220245415e-03 2.101343055681386431e+03
9.178690139538474291e-03 2.135908622244469370e+03
1.010742994067464692e-02 2.167992636121297437e+03
1.113014367546599596e-02 2.197212068336539687e+03
1.225634003536284211e-02 2.223175175874833258e+03
1.349648984258495360e-02 2.245487001552005950e+03
1.486212340269867961e-02 2.263752734025057634e+03
1.636593770775132684e-02 2.277600266507745800e+03
1.802191448668508111e-02 2.286693623139804913e+03
1.984545020060542869e-02 2.290806722326556155e+03
2.185349919153637202e-02 2.289746299204560728e+03
2.406473131558947362e-02 2.283253954396787321e+03
2.649970552614275970e-02 2.271620844880147615e+03
2.918106102092083917e-02 2.255251123705890677e+03
3.213372773016823225e-02 2.234107298307761994e+03
3.538515810293173941e-02 2.208076483783183903e+03
3.896558234648738600e-02 2.177525615300012760e+03
4.290828949200296144e-02 2.143090389759119716e+03
4.724993689964709920e-02 2.105407380300885961e+03
5.203089108077182945e-02 2.064856578317532239e+03
5.729560300596639455e-02 2.021305557147975151e+03
6.309302138841260676e-02 1.974356592460448383e+03
6.947704778504841527e-02 1.923996277661841077e+03
7.650703774684687597e-02 1.870338511634955239e+03
8.424835267766081492e-02 1.813727156531746232e+03
9.277296753254629658e-02 1.754661063567805968e+03
1.021601400056462855e-01 1.693886228232747726e+03
1.124971474294155227e-01 1.632006371187530021e+03
1.238800982365157316e-01 1.569847049220919644e+03
1.364148255289543421e-01 1.508526970021176112e+03
1.502178710624380020e-01 1.450068949964659396e+03
1.654175687945419748e-01 1.384507050970251612e+03
1.821552380709988428e-01 1.315031708439853219e+03
2.005864975437669784e-01 1.243144729063320256e+03
2.208827120370437935e-01 1.169508922767047807e+03
2.432325858134798402e-01 1.094752141350494867e+03
2.678439170539968495e-01 1.019292592859721935e+03
2.949455298635091371e-01 9.437381731058917467e+02
3.247894017653895626e-01 8.687239287841384794e+02
3.576530064650781382e-01 7.949775124250382987e+02
3.938418936647100077e-01 7.231478726965362966e+02
4.336925299146058843e-01 6.538388230712421318e+02
4.775754269144809050e-01 5.874603889718528080e+02
5.258985863497748214e-01 5.244057126902497430e+02
