# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 8.90800e+01 2.13063e+00 2.13063e+00
2.04000e+00 8.37700e+01 1.67410e+00 1.67410e+00
2.27000e+00 7.69100e+01 1.37131e+00 1.37131e+00
2.54000e+00 6.70300e+01 1.09343e+00 1.09343e+00
2.82000e+00 5.96100e+01 9.24554e-01 9.24554e-01
3.13000e+00 5.00300e+01 7.66942e-01 7.66942e-01
3.46000e+00 4.32700e+01 6.52993e-01 6.52993e-01
3.83000e+00 3.73500e+01 5.48179e-01 5.48179e-01
4.22000e+00 3.11500e+01 4.56070e-01 4.56070e-01
4.65000e+00 2.61000e+01 3.78021e-01 3.78021e-01
5.12000e+00 2.10700e+01 3.06105e-01 3.06105e-01
5.63000e+00 1.75600e+01 2.56125e-01 2.56125e-01
6.19000e+00 1.42000e+01 2.06155e-01 2.06155e-01
6.78000e+00 1.13200e+01 1.70294e-01 1.70294e-01
7.42000e+00 9.43000e+00 1.44045e-01 1.44045e-01
8.12000e+00 7.67600e+00 1.19754e-01 1.19754e-01
8.87000e+00 6.10700e+00 9.76729e-02 9.76729e-02
9.68000e+00 5.05100e+00 8.27587e-02 8.27587e-02
1.06000e+01 4.00900e+00 6.71789e-02 6.71789e-02
1.20000e+01 2.93300e+00 4.36005e-02 4.36005e-02
1.48000e+01 1.75400e+00 2.52389e-02 2.52389e-02
1.97000e+01 8.60400e-01 1.25539e-02 1.25539e-02
2.81000e+01 3.38200e-01 5.26972e-03 5.26972e-03
4.10000e+01 1.20300e-01 2.12603e-03 2.12603e-03
5.91000e+01 4.55200e-02 9.92472e-04 9.92472e-04
8.48000e+01 1.69700e-02 4.72017e-04 4.72017e-04
