# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 7.02900e+01 1.77229e+00 1.77229e+00
2.04000e+00 6.54400e+01 1.36033e+00 1.36033e+00
2.27000e+00 6.09000e+01 1.11946e+00 1.11946e+00
2.54000e+00 5.52300e+01 9.20978e-01 9.20978e-01
2.82000e+00 4.93100e+01 7.86448e-01 7.86448e-01
3.13000e+00 4.40800e+01 6.86804e-01 6.86804e-01
3.46000e+00 3.84300e+01 5.87963e-01 5.87963e-01
3.83000e+00 3.24100e+01 4.82701e-01 4.82701e-01
4.22000e+00 2.77700e+01 4.04599e-01 4.04599e-01
4.65000e+00 2.32300e+01 3.40588e-01 3.40588e-01
5.12000e+00 1.94300e+01 2.84253e-01 2.84253e-01
5.63000e+00 1.61200e+01 2.42074e-01 2.42074e-01
6.19000e+00 1.33000e+01 1.92094e-01 1.92094e-01
6.78000e+00 1.07900e+01 1.64012e-01 1.64012e-01
7.42000e+00 9.13700e+00 1.36499e-01 1.36499e-01
8.12000e+00 7.18300e+00 1.09986e-01 1.09986e-01
8.87000e+00 5.81800e+00 9.06863e-02 9.06863e-02
9.68000e+00 4.91200e+00 7.78974e-02 7.78974e-02
1.06000e+01 3.94300e+00 6.43817e-02 6.43817e-02
1.20000e+01 2.88300e+00 4.24382e-02 4.24382e-02
1.48000e+01 1.74400e+00 2.46982e-02 2.46982e-02
1.97000e+01 8.52400e-01 1.23167e-02 1.23167e-02
2.81000e+01 3.38600e-01 5.16236e-03 5.16236e-03
4.10000e+01 1.24500e-01 2.20227e-03 2.20227e-03
5.91000e+01 4.66000e-02 9.68969e-04 9.68969e-04
8.48000e+01 1.66700e-02 4.42041e-04 4.42041e-04
