# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 6.13500e+02 1.91880e+01 1.91880e+01
1.25000e+00 6.29700e+02 1.54496e+01 1.54496e+01
1.42000e+00 6.18300e+02 1.24455e+01 1.24455e+01
1.61000e+00 5.82700e+02 9.93277e+00 9.93277e+00
1.81000e+00 5.46900e+02 8.28613e+00 8.28613e+00
2.04000e+00 4.96900e+02 6.83081e+00 6.83081e+00
2.27000e+00 4.36600e+02 5.63028e+00 5.63028e+00
2.54000e+00 3.87000e+02 4.74342e+00 4.74342e+00
2.82000e+00 3.36200e+02 4.01622e+00 4.01622e+00
3.13000e+00 2.89100e+02 3.28938e+00 3.28938e+00
3.46000e+00 2.41900e+02 2.75136e+00 2.75136e+00
3.83000e+00 2.03800e+02 2.30868e+00 2.30868e+00
4.22000e+00 1.70700e+02 1.89737e+00 1.89737e+00
4.65000e+00 1.40700e+02 1.58114e+00 1.58114e+00
5.12000e+00 1.15600e+02 1.26491e+00 1.26491e+00
5.63000e+00 9.43500e+01 1.03730e+00 1.03730e+00
6.19000e+00 7.66500e+01 8.57030e-01 8.57030e-01
6.78000e+00 6.18200e+01 6.89493e-01 6.89493e-01
7.42000e+00 5.01700e+01 5.63028e-01 5.63028e-01
8.12000e+00 4.05900e+01 4.58803e-01 4.58803e-01
8.87000e+00 3.26300e+01 3.73363e-01 3.73363e-01
9.68000e+00 2.61200e+01 3.00832e-01 3.00832e-01
1.06000e+01 2.10500e+01 2.50799e-01 2.50799e-01
1.20000e+01 1.52000e+01 1.77200e-01 1.77200e-01
1.48000e+01 8.91300e+00 1.04809e-01 1.04809e-01
1.97000e+01 4.21700e+00 5.04480e-02 5.04480e-02
2.81000e+01 1.63000e+00 2.06155e-02 2.06155e-02
4.10000e+01 5.70300e-01 7.40945e-03 7.40945e-03
5.91000e+01 2.06300e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.48600e-02 1.12004e-03 1.12004e-03
