# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 1.59700e+03 4.47214e+01 4.47214e+01
1.25000e+00 1.49100e+03 3.37343e+01 3.37343e+01
1.42000e+00 1.32000e+03 2.47386e+01 2.47386e+01
1.61000e+00 1.14800e+03 1.86815e+01 1.86815e+01
1.81000e+00 9.93800e+02 1.46741e+01 1.46741e+01
2.04000e+00 8.30000e+02 1.14285e+01 1.14285e+01
2.27000e+00 6.94200e+02 9.08020e+00 9.08020e+00
2.54000e+00 5.68700e+02 7.08802e+00 7.08802e+00
2.82000e+00 4.72300e+02 5.72800e+00 5.72800e+00
3.13000e+00 3.86500e+02 4.61736e+00 4.61736e+00
3.46000e+00 3.13300e+02 3.66879e+00 3.66879e+00
3.83000e+00 2.53400e+02 2.94109e+00 2.94109e+00
4.22000e+00 2.06300e+02 2.40416e+00 2.40416e+00
4.65000e+00 1.64600e+02 1.89737e+00 1.89737e+00
5.12000e+00 1.33300e+02 1.48661e+00 1.48661e+00
5.63000e+00 1.06200e+02 1.26491e+00 1.26491e+00
6.19000e+00 8.54000e+01 9.80306e-01 9.80306e-01
6.78000e+00 6.84500e+01 7.90569e-01 7.90569e-01
7.42000e+00 5.44300e+01 6.32456e-01 6.32456e-01
8.12000e+00 4.35600e+01 5.09215e-01 5.09215e-01
8.87000e+00 3.47800e+01 4.14367e-01 4.14367e-01
9.68000e+00 2.78200e+01 3.32415e-01 3.32415e-01
1.06000e+01 2.21500e+01 2.69258e-01 2.69258e-01
1.20000e+01 1.59700e+01 1.89737e-01 1.89737e-01
1.48000e+01 9.25300e+00 1.11826e-01 1.11826e-01
1.97000e+01 4.35900e+00 5.36004e-02 5.36004e-02
2.81000e+01 1.66500e+00 2.18403e-02 2.18403e-02
4.10000e+01 5.78700e-01 7.72528e-03 7.72528e-03
5.91000e+01 2.02700e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.75200e-02 1.20208e-03 1.20208e-03
