# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 9.17400e+02 2.74962e+01 2.74962e+01
1.25000e+00 8.91800e+02 2.11625e+01 2.11625e+01
1.42000e+00 8.34800e+02 1.64451e+01 1.64451e+01
1.61000e+00 7.69600e+02 1.32185e+01 1.32185e+01
1.81000e+00 6.91600e+02 1.07703e+01 1.07703e+01
2.04000e+00 6.09900e+02 8.73613e+00 8.73613e+00
2.27000e+00 5.28100e+02 7.18401e+00 7.18401e+00
2.54000e+00 4.48300e+02 5.82409e+00 5.82409e+00
2.82000e+00 3.80300e+02 4.80833e+00 4.80833e+00
3.13000e+00 3.18700e+02 3.88973e+00 3.88973e+00
3.46000e+00 2.65400e+02 3.25730e+00 3.25730e+00
3.83000e+00 2.20400e+02 2.62488e+00 2.62488e+00
4.22000e+00 1.81400e+02 2.18403e+00 2.18403e+00
4.65000e+00 1.48500e+02 1.77200e+00 1.77200e+00
5.12000e+00 1.22300e+02 1.45602e+00 1.45602e+00
5.63000e+00 9.89200e+01 1.16387e+00 1.16387e+00
6.19000e+00 8.00700e+01 9.55092e-01 9.55092e-01
6.78000e+00 6.44300e+01 7.68440e-01 7.68440e-01
7.42000e+00 5.24000e+01 6.32456e-01 6.32456e-01
8.12000e+00 4.22100e+01 5.09215e-01 5.09215e-01
8.87000e+00 3.38200e+01 4.14367e-01 4.14367e-01
9.68000e+00 2.72100e+01 3.32415e-01 3.32415e-01
1.06000e+01 2.17500e+01 2.69258e-01 2.69258e-01
1.20000e+01 1.57800e+01 1.96469e-01 1.96469e-01
1.48000e+01 9.30300e+00 1.15694e-01 1.15694e-01
1.97000e+01 4.38400e+00 5.55428e-02 5.55428e-02
2.81000e+01 1.67900e+00 2.28035e-02 2.28035e-02
4.10000e+01 5.89000e-01 8.19329e-03 8.19329e-03
5.91000e+01 2.07000e-01 3.04138e-03 3.04138e-03
8.48000e+01 7.69300e-02 1.25925e-03 1.25925e-03
