# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 1.61300e+03 4.57056e+01 4.57056e+01
1.25000e+00 1.50900e+03 3.37343e+01 3.37343e+01
1.42000e+00 1.34600e+03 2.47386e+01 2.47386e+01
1.61000e+00 1.17600e+03 1.96469e+01 1.96469e+01
1.81000e+00 1.00600e+03 1.45602e+01 1.45602e+01
2.04000e+00 8.54500e+02 1.16211e+01 1.16211e+01
2.27000e+00 7.07700e+02 9.17606e+00 9.17606e+00
2.54000e+00 5.85000e+02 7.18401e+00 7.18401e+00
2.82000e+00 4.80400e+02 5.72800e+00 5.72800e+00
3.13000e+00 3.91200e+02 4.61736e+00 4.61736e+00
3.46000e+00 3.19800e+02 3.66879e+00 3.66879e+00
3.83000e+00 2.59100e+02 2.94109e+00 2.94109e+00
4.22000e+00 2.10100e+02 2.40416e+00 2.40416e+00
4.65000e+00 1.70100e+02 1.89737e+00 1.89737e+00
5.12000e+00 1.35300e+02 1.48661e+00 1.48661e+00
5.63000e+00 1.08700e+02 1.26491e+00 1.26491e+00
6.19000e+00 8.65500e+01 9.80306e-01 9.80306e-01
6.78000e+00 6.95600e+01 7.93788e-01 7.93788e-01
7.42000e+00 5.57500e+01 6.35689e-01 6.35689e-01
8.12000e+00 4.41000e+01 5.12640e-01 5.12640e-01
8.87000e+00 3.54400e+01 4.17852e-01 4.17852e-01
9.68000e+00 2.81800e+01 3.32415e-01 3.32415e-01
1.06000e+01 2.22900e+01 2.69258e-01 2.69258e-01
1.20000e+01 1.62400e+01 1.89737e-01 1.89737e-01
1.48000e+01 9.35900e+00 1.12089e-01 1.12089e-01
1.97000e+01 4.40200e+00 5.36004e-02 5.36004e-02
2.81000e+01 1.68000e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.84900e-01 7.66942e-03 7.66942e-03
5.91000e+01 2.07700e-01 2.91548e-03 2.91548e-03
8.48000e+01 7.68000e-02 1.18849e-03 1.18849e-03
