# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 5.90700e+02 1.78317e+01 1.78317e+01
1.25000e+00 5.83800e+02 1.36561e+01 1.36561e+01
1.42000e+00 5.72800e+02 1.09202e+01 1.09202e+01
1.61000e+00 5.34600e+02 8.79318e+00 8.79318e+00
1.81000e+00 4.93100e+02 7.27324e+00 7.27324e+00
2.04000e+00 4.41200e+02 6.00833e+00 6.00833e+00
2.27000e+00 3.90800e+02 5.09215e+00 5.09215e+00
2.54000e+00 3.39300e+02 4.14367e+00 4.14367e+00
2.82000e+00 2.95700e+02 3.51141e+00 3.51141e+00
3.13000e+00 2.54100e+02 2.97321e+00 2.97321e+00
3.46000e+00 2.15600e+02 2.43516e+00 2.43516e+00
3.83000e+00 1.82000e+02 2.02485e+00 2.02485e+00
4.22000e+00 1.53600e+02 1.70880e+00 1.70880e+00
4.65000e+00 1.27800e+02 1.39284e+00 1.39284e+00
5.12000e+00 1.06100e+02 1.17047e+00 1.17047e+00
5.63000e+00 8.77200e+01 9.64624e-01 9.64624e-01
6.19000e+00 7.15800e+01 7.97120e-01 7.97120e-01
6.78000e+00 5.87700e+01 6.48460e-01 6.48460e-01
7.42000e+00 4.79700e+01 5.34883e-01 5.34883e-01
8.12000e+00 3.91500e+01 4.49444e-01 4.49444e-01
8.87000e+00 3.18800e+01 3.64005e-01 3.64005e-01
9.68000e+00 2.58600e+01 3.00832e-01 3.00832e-01
1.06000e+01 2.08600e+01 2.37697e-01 2.37697e-01
1.20000e+01 1.51300e+01 1.77200e-01 1.77200e-01
1.48000e+01 8.96700e+00 1.04809e-01 1.04809e-01
1.97000e+01 4.30700e+00 5.16624e-02 5.16624e-02
2.81000e+01 1.66100e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.82100e-01 7.53923e-03 7.53923e-03
5.91000e+01 2.09500e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.46900e-02 1.12614e-03 1.12614e-03
