# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 7.82300e+01 1.91094e+00 1.91094e+00
2.04000e+00 7.30800e+01 1.46820e+00 1.46820e+00
2.27000e+00 6.86800e+01 1.21918e+00 1.21918e+00
2.54000e+00 6.14000e+01 9.92472e-01 9.92472e-01
2.82000e+00 5.35200e+01 8.22192e-01 8.22192e-01
3.13000e+00 4.63600e+01 7.08378e-01 7.08378e-01
3.46000e+00 4.09100e+01 6.09590e-01 6.09590e-01
3.83000e+00 3.48600e+01 5.04480e-01 5.04480e-01
4.22000e+00 2.95400e+01 4.26380e-01 4.26380e-01
4.65000e+00 2.46900e+01 3.56090e-01 3.56090e-01
5.12000e+00 2.01200e+01 2.92062e-01 2.92062e-01
5.63000e+00 1.65600e+01 2.42074e-01 2.42074e-01
6.19000e+00 1.35700e+01 2.00000e-01 2.00000e-01
6.78000e+00 1.12500e+01 1.64012e-01 1.64012e-01
7.42000e+00 9.11000e+00 1.35093e-01 1.35093e-01
8.12000e+00 7.55100e+00 1.14337e-01 1.14337e-01
8.87000e+00 5.98800e+00 9.28493e-02 9.28493e-02
9.68000e+00 4.87000e+00 7.71557e-02 7.71557e-02
1.06000e+01 4.04000e+00 6.51153e-02 6.51153e-02
1.20000e+01 2.92500e+00 4.30116e-02 4.30116e-02
1.48000e+01 1.75300e+00 2.46982e-02 2.46982e-02
1.97000e+01 8.49600e-01 1.21803e-02 1.21803e-02
2.81000e+01 3.42400e-01 5.16236e-03 5.16236e-03
4.10000e+01 1.22000e-01 2.06155e-03 2.06155e-03
5.91000e+01 4.50300e-02 9.33809e-04 9.33809e-04
8.48000e+01 1.68000e-02 4.42041e-04 4.42041e-04
