# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 9.59000e+02 2.88106e+01 2.88106e+01
1.25000e+00 9.30300e+02 2.20077e+01 2.20077e+01
1.42000e+00 8.76400e+02 1.72931e+01 1.72931e+01
1.61000e+00 8.09200e+02 1.38495e+01 1.38495e+01
1.81000e+00 7.21400e+02 1.11826e+01 1.11826e+01
2.04000e+00 6.31900e+02 9.05207e+00 9.05207e+00
2.27000e+00 5.47400e+02 7.43303e+00 7.43303e+00
2.54000e+00 4.62900e+02 6.04401e+00 6.04401e+00
2.82000e+00 3.90300e+02 4.90408e+00 4.90408e+00
3.13000e+00 3.28400e+02 3.98497e+00 3.98497e+00
3.46000e+00 2.73400e+02 3.25730e+00 3.25730e+00
3.83000e+00 2.26900e+02 2.72029e+00 2.72029e+00
4.22000e+00 1.86200e+02 2.18403e+00 2.18403e+00
4.65000e+00 1.52000e+02 1.77200e+00 1.77200e+00
5.12000e+00 1.24000e+02 1.45602e+00 1.45602e+00
5.63000e+00 1.00600e+02 1.17047e+00 1.17047e+00
6.19000e+00 8.08300e+01 9.64624e-01 9.64624e-01
6.78000e+00 6.57500e+01 7.87464e-01 7.87464e-01
7.42000e+00 5.29200e+01 6.32456e-01 6.32456e-01
8.12000e+00 4.26100e+01 5.18652e-01 5.18652e-01
8.87000e+00 3.41900e+01 4.23792e-01 4.23792e-01
9.68000e+00 2.73800e+01 3.41760e-01 3.41760e-01
1.06000e+01 2.20400e+01 2.78568e-01 2.78568e-01
1.20000e+01 1.60500e+01 1.99249e-01 1.99249e-01
1.48000e+01 9.33100e+00 1.16662e-01 1.16662e-01
1.97000e+01 4.38600e+00 5.55428e-02 5.55428e-02
2.81000e+01 1.69400e+00 2.28035e-02 2.28035e-02
4.10000e+01 5.90800e-01 8.19329e-03 8.19329e-03
5.91000e+01 2.08900e-01 3.13050e-03 3.13050e-03
8.48000e+01 7.60000e-02 1.23709e-03 1.23709e-03
