# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 6.13400e+02 1.87011e+01 1.87011e+01
1.25000e+00 6.10300e+02 1.43586e+01 1.43586e+01
1.42000e+00 5.99100e+02 1.15521e+01 1.15521e+01
1.61000e+00 5.68600e+02 9.42550e+00 9.42550e+00
1.81000e+00 5.26100e+02 7.77946e+00 7.77946e+00
2.04000e+00 4.79400e+02 6.54599e+00 6.54599e+00
2.27000e+00 4.21900e+02 5.50273e+00 5.50273e+00
2.54000e+00 3.69900e+02 4.55412e+00 4.55412e+00
2.82000e+00 3.22300e+02 3.82753e+00 3.82753e+00
3.13000e+00 2.76000e+02 3.19531e+00 3.19531e+00
3.46000e+00 2.34600e+02 2.65707e+00 2.65707e+00
3.83000e+00 1.98400e+02 2.21359e+00 2.21359e+00
4.22000e+00 1.65300e+02 1.80278e+00 1.80278e+00
4.65000e+00 1.37000e+02 1.48661e+00 1.48661e+00
5.12000e+00 1.14100e+02 1.26491e+00 1.26491e+00
5.63000e+00 9.29900e+01 1.02786e+00 1.02786e+00
6.19000e+00 7.61700e+01 8.47585e-01 8.47585e-01
6.78000e+00 6.18000e+01 6.89493e-01 6.89493e-01
7.42000e+00 5.03900e+01 5.63028e-01 5.63028e-01
8.12000e+00 4.05300e+01 4.58803e-01 4.58803e-01
8.87000e+00 3.28700e+01 3.86264e-01 3.86264e-01
9.68000e+00 2.65700e+01 3.13847e-01 3.13847e-01
1.06000e+01 2.13700e+01 2.50799e-01 2.50799e-01
1.20000e+01 1.55700e+01 1.77200e-01 1.77200e-01
1.48000e+01 9.10600e+00 1.07005e-01 1.07005e-01
1.97000e+01 4.29300e+00 5.16624e-02 5.16624e-02
2.81000e+01 1.65900e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.82600e-01 7.53923e-03 7.53923e-03
5.91000e+01 2.09400e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.72800e-02 1.16211e-03 1.16211e-03
