# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 7.47600e+01 1.96644e+00 1.96644e+00
2.04000e+00 6.99900e+01 1.55416e+00 1.55416e+00
2.27000e+00 6.31300e+01 1.27016e+00 1.27016e+00
2.54000e+00 5.82000e+01 1.07935e+00 1.07935e+00
2.82000e+00 5.16500e+01 9.16788e-01 9.16788e-01
3.13000e+00 4.50000e+01 7.95110e-01 7.95110e-01
3.46000e+00 3.86500e+01 6.68431e-01 6.68431e-01
3.83000e+00 3.26800e+01 5.56058e-01 5.56058e-01
4.22000e+00 2.73600e+01 4.56070e-01 4.56070e-01
4.65000e+00 2.31000e+01 3.86005e-01 3.86005e-01
5.12000e+00 1.89900e+01 3.14006e-01 3.14006e-01
5.63000e+00 1.57500e+01 2.64008e-01 2.64008e-01
6.19000e+00 1.30500e+01 2.22036e-01 2.22036e-01
6.78000e+00 1.08200e+01 1.86011e-01 1.86011e-01
7.42000e+00 8.59700e+00 1.47003e-01 1.47003e-01
8.12000e+00 7.00100e+00 1.21037e-01 1.21037e-01
8.87000e+00 5.74100e+00 1.01671e-01 1.01671e-01
9.68000e+00 4.71800e+00 8.45044e-02 8.45044e-02
1.06000e+01 3.85900e+00 7.01783e-02 7.01783e-02
1.20000e+01 2.82500e+00 4.68722e-02 4.68722e-02
1.48000e+01 1.67800e+00 2.77849e-02 2.77849e-02
1.97000e+01 8.32600e-01 1.34648e-02 1.34648e-02
2.81000e+01 3.33300e-01 5.64358e-03 5.64358e-03
4.10000e+01 1.21400e-01 2.28035e-03 2.28035e-03
5.91000e+01 4.61000e-02 1.02533e-03 1.02533e-03
8.48000e+01 1.64400e-02 4.62277e-04 4.62277e-04
