# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 5.82100e+01 1.53379e+00 1.53379e+00
2.04000e+00 5.90000e+01 1.26036e+00 1.26036e+00
2.27000e+00 5.53800e+01 1.04805e+00 1.04805e+00
2.54000e+00 5.24800e+01 8.85268e-01 8.85268e-01
2.82000e+00 4.64400e+01 7.50733e-01 7.50733e-01
3.13000e+00 4.14800e+01 6.51153e-01 6.51153e-01
3.46000e+00 3.69500e+01 5.59732e-01 5.59732e-01
3.83000e+00 3.25600e+01 4.75079e-01 4.75079e-01
4.22000e+00 2.72100e+01 3.90512e-01 3.90512e-01
4.65000e+00 2.32200e+01 3.34215e-01 3.34215e-01
5.12000e+00 1.93000e+01 2.78029e-01 2.78029e-01
5.63000e+00 1.58000e+01 2.28035e-01 2.28035e-01
6.19000e+00 1.34100e+01 1.92094e-01 1.92094e-01
6.78000e+00 1.12300e+01 1.64012e-01 1.64012e-01
7.42000e+00 9.06800e+00 1.34952e-01 1.34952e-01
8.12000e+00 7.47100e+00 1.12805e-01 1.12805e-01
8.87000e+00 6.09900e+00 9.42603e-02 9.42603e-02
9.68000e+00 5.02900e+00 7.93095e-02 7.93095e-02
1.06000e+01 4.04400e+00 6.43817e-02 6.43817e-02
1.20000e+01 2.92500e+00 4.30116e-02 4.30116e-02
1.48000e+01 1.74200e+00 2.46982e-02 2.46982e-02
1.97000e+01 8.62400e-01 1.23167e-02 1.23167e-02
2.81000e+01 3.44100e-01 5.16236e-03 5.16236e-03
4.10000e+01 1.23300e-01 2.12603e-03 2.12603e-03
5.91000e+01 4.52300e-02 9.41116e-04 9.41116e-04
8.48000e+01 1.74800e-02 4.56070e-04 4.56070e-04
