# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 1.60700e+03 4.57056e+01 4.57056e+01
1.25000e+00 1.50400e+03 3.37343e+01 3.37343e+01
1.42000e+00 1.34600e+03 2.47386e+01 2.47386e+01
1.61000e+00 1.18100e+03 1.86815e+01 1.86815e+01
1.81000e+00 1.00300e+03 1.45602e+01 1.45602e+01
2.04000e+00 8.51800e+02 1.15248e+01 1.15248e+01
2.27000e+00 7.14200e+02 9.08020e+00 9.08020e+00
2.54000e+00 5.84800e+02 7.08802e+00 7.08802e+00
2.82000e+00 4.83100e+02 5.66127e+00 5.66127e+00
3.13000e+00 3.94900e+02 4.52217e+00 4.52217e+00
3.46000e+00 3.19500e+02 3.57351e+00 3.57351e+00
3.83000e+00 2.61200e+02 2.94109e+00 2.94109e+00
4.22000e+00 2.10200e+02 2.30868e+00 2.30868e+00
4.65000e+00 1.68800e+02 1.89737e+00 1.89737e+00
5.12000e+00 1.36200e+02 1.48661e+00 1.48661e+00
5.63000e+00 1.09000e+02 1.17047e+00 1.17047e+00
6.19000e+00 8.70300e+01 9.70824e-01 9.70824e-01
6.78000e+00 6.92300e+01 7.71622e-01 7.71622e-01
7.42000e+00 5.52800e+01 6.26259e-01 6.26259e-01
8.12000e+00 4.43400e+01 5.09215e-01 5.09215e-01
8.87000e+00 3.54100e+01 4.04969e-01 4.04969e-01
9.68000e+00 2.81300e+01 3.23110e-01 3.23110e-01
1.06000e+01 2.24000e+01 2.60000e-01 2.60000e-01
1.20000e+01 1.60800e+01 1.89737e-01 1.89737e-01
1.48000e+01 9.34600e+00 1.09895e-01 1.09895e-01
1.97000e+01 4.38800e+00 5.26308e-02 5.26308e-02
2.81000e+01 1.67800e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.88000e-01 7.63217e-03 7.63217e-03
5.91000e+01 2.05500e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.37900e-02 1.12614e-03 1.12614e-03
