# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 7.49300e+02 2.26716e+01 2.26716e+01
1.25000e+00 7.50800e+02 1.78539e+01 1.78539e+01
1.42000e+00 7.19300e+02 1.40684e+01 1.40684e+01
1.61000e+00 6.80300e+02 1.13053e+01 1.13053e+01
1.81000e+00 6.13200e+02 9.08020e+00 9.08020e+00
2.04000e+00 5.51600e+02 7.43303e+00 7.43303e+00
2.27000e+00 4.86900e+02 6.19839e+00 6.19839e+00
2.54000e+00 4.17500e+02 5.05964e+00 5.05964e+00
2.82000e+00 3.55500e+02 4.20595e+00 4.20595e+00
3.13000e+00 3.00500e+02 3.47851e+00 3.47851e+00
3.46000e+00 2.54300e+02 2.84605e+00 2.84605e+00
3.83000e+00 2.11100e+02 2.30868e+00 2.30868e+00
4.22000e+00 1.74600e+02 1.89737e+00 1.89737e+00
4.65000e+00 1.43800e+02 1.58114e+00 1.58114e+00
5.12000e+00 1.18200e+02 1.26491e+00 1.26491e+00
5.63000e+00 9.59000e+01 1.04676e+00 1.04676e+00
6.19000e+00 7.77000e+01 8.60349e-01 8.60349e-01
6.78000e+00 6.34000e+01 7.02282e-01 7.02282e-01
7.42000e+00 5.08100e+01 5.66480e-01 5.66480e-01
8.12000e+00 4.11200e+01 4.71699e-01 4.71699e-01
8.87000e+00 3.32900e+01 3.86264e-01 3.86264e-01
9.68000e+00 2.65300e+01 3.04631e-01 3.04631e-01
1.06000e+01 2.12600e+01 2.50799e-01 2.50799e-01
1.20000e+01 1.55200e+01 1.77200e-01 1.77200e-01
1.48000e+01 9.03300e+00 1.06042e-01 1.06042e-01
1.97000e+01 4.28200e+00 5.16624e-02 5.16624e-02
2.81000e+01 1.64700e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.75500e-01 7.44648e-03 7.44648e-03
5.91000e+01 2.08300e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.50700e-02 1.13851e-03 1.13851e-03
