# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 9.46800e+02 2.78289e+01 2.78289e+01
1.25000e+00 9.17300e+02 2.10545e+01 2.10545e+01
1.42000e+00 8.64100e+02 1.64201e+01 1.64201e+01
1.61000e+00 7.90900e+02 1.29541e+01 1.29541e+01
1.81000e+00 7.10800e+02 1.05081e+01 1.05081e+01
2.04000e+00 6.28900e+02 8.57263e+00 8.57263e+00
2.27000e+00 5.38100e+02 6.92604e+00 6.92604e+00
2.54000e+00 4.59300e+02 5.66127e+00 5.66127e+00
2.82000e+00 3.91000e+02 4.61736e+00 4.61736e+00
3.13000e+00 3.25500e+02 3.79473e+00 3.79473e+00
3.46000e+00 2.71200e+02 3.06757e+00 3.06757e+00
3.83000e+00 2.26100e+02 2.52982e+00 2.52982e+00
4.22000e+00 1.85900e+02 2.11896e+00 2.11896e+00
4.65000e+00 1.52900e+02 1.67631e+00 1.67631e+00
5.12000e+00 1.23600e+02 1.36015e+00 1.36015e+00
5.63000e+00 9.98800e+01 1.11000e+00 1.11000e+00
6.19000e+00 8.15000e+01 9.10824e-01 9.10824e-01
6.78000e+00 6.54800e+01 7.30548e-01 7.30548e-01
7.42000e+00 5.28900e+01 5.94643e-01 5.94643e-01
8.12000e+00 4.23100e+01 4.81041e-01 4.81041e-01
8.87000e+00 3.39600e+01 3.95601e-01 3.95601e-01
9.68000e+00 2.72700e+01 3.23110e-01 3.23110e-01
1.06000e+01 2.18400e+01 2.60000e-01 2.60000e-01
1.20000e+01 1.59300e+01 1.89737e-01 1.89737e-01
1.48000e+01 9.28300e+00 1.08931e-01 1.08931e-01
1.97000e+01 4.36500e+00 5.26308e-02 5.26308e-02
2.81000e+01 1.68900e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.88700e-01 7.63217e-03 7.63217e-03
5.91000e+01 2.09600e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.56700e-02 1.15603e-03 1.15603e-03
