# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 8.69000e+02 2.63403e+01 2.63403e+01
1.25000e+00 8.23400e+02 1.95788e+01 1.95788e+01
1.42000e+00 7.93300e+02 1.56218e+01 1.56218e+01
1.61000e+00 7.28000e+02 1.24310e+01 1.24310e+01
1.81000e+00 6.44500e+02 9.93680e+00 9.93680e+00
2.04000e+00 5.64400e+02 8.04114e+00 8.04114e+00
2.27000e+00 4.86700e+02 6.59242e+00 6.59242e+00
2.54000e+00 4.19900e+02 5.38516e+00 5.38516e+00
2.82000e+00 3.55800e+02 4.43847e+00 4.43847e+00
3.13000e+00 2.99100e+02 3.58469e+00 3.58469e+00
3.46000e+00 2.50000e+02 2.95466e+00 2.95466e+00
3.83000e+00 2.07800e+02 2.46982e+00 2.46982e+00
4.22000e+00 1.70700e+02 1.96977e+00 1.96977e+00
4.65000e+00 1.40900e+02 1.61555e+00 1.61555e+00
5.12000e+00 1.15400e+02 1.30000e+00 1.30000e+00
5.63000e+00 9.45800e+01 1.09385e+00 1.09385e+00
6.19000e+00 7.62200e+01 8.91572e-01 8.91572e-01
6.78000e+00 6.19500e+01 7.30068e-01 7.30068e-01
7.42000e+00 5.03000e+01 5.90931e-01 5.90931e-01
8.12000e+00 4.04400e+01 4.83322e-01 4.83322e-01
8.87000e+00 3.24600e+01 3.98121e-01 3.98121e-01
9.68000e+00 2.65200e+01 3.22025e-01 3.22025e-01
1.06000e+01 2.13000e+01 2.68328e-01 2.68328e-01
1.20000e+01 1.54800e+01 1.83848e-01 1.83848e-01
1.48000e+01 9.08700e+00 1.10680e-01 1.10680e-01
1.97000e+01 4.24600e+00 5.22015e-02 5.22015e-02
2.81000e+01 1.65800e+00 2.11896e-02 2.11896e-02
4.10000e+01 5.86400e-01 7.92023e-03 7.92023e-03
5.91000e+01 2.08000e-01 3.10644e-03 3.10644e-03
8.48000e+01 7.59000e-02 1.27664e-03 1.27664e-03
