# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 4.54700e+01 1.32639e+00 1.32639e+00
2.04000e+00 4.65500e+01 1.11041e+00 1.11041e+00
2.27000e+00 4.45800e+01 9.42603e-01 9.42603e-01
2.54000e+00 4.21100e+01 8.00562e-01 8.00562e-01
2.82000e+00 3.90800e+01 6.87677e-01 6.87677e-01
3.13000e+00 3.54900e+01 6.08769e-01 6.08769e-01
3.46000e+00 3.18500e+01 5.17397e-01 5.17397e-01
3.83000e+00 2.76400e+01 4.40454e-01 4.40454e-01
4.22000e+00 2.35400e+01 3.76431e-01 3.76431e-01
4.65000e+00 2.10400e+01 3.20156e-01 3.20156e-01
5.12000e+00 1.79300e+01 2.78029e-01 2.78029e-01
5.63000e+00 1.45900e+01 2.28035e-01 2.28035e-01
6.19000e+00 1.23200e+01 1.92094e-01 1.92094e-01
6.78000e+00 1.02800e+01 1.64012e-01 1.64012e-01
7.42000e+00 8.42700e+00 1.33060e-01 1.33060e-01
8.12000e+00 7.00800e+00 1.12294e-01 1.12294e-01
8.87000e+00 5.68100e+00 9.29570e-02 9.29570e-02
9.68000e+00 4.78600e+00 7.93977e-02 7.93977e-02
1.06000e+01 3.88500e+00 6.58559e-02 6.58559e-02
1.20000e+01 2.84800e+00 4.38292e-02 4.38292e-02
1.48000e+01 1.71200e+00 2.55539e-02 2.55539e-02
1.97000e+01 8.36700e-01 1.25300e-02 1.25300e-02
2.81000e+01 3.39400e-01 5.33385e-03 5.33385e-03
4.10000e+01 1.23500e-01 2.20227e-03 2.20227e-03
5.91000e+01 4.52000e-02 9.76217e-04 9.76217e-04
8.48000e+01 1.69800e-02 4.56070e-04 4.56070e-04
