# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 3.93200e+02 1.35093e+01 1.35093e+01
1.25000e+00 4.11100e+02 1.05081e+01 1.05081e+01
1.42000e+00 4.23400e+02 8.53815e+00 8.53815e+00
1.61000e+00 4.21200e+02 7.11688e+00 7.11688e+00
1.81000e+00 4.00200e+02 6.07454e+00 6.07454e+00
2.04000e+00 3.75800e+02 5.22015e+00 5.22015e+00
2.27000e+00 3.42100e+02 4.49444e+00 4.49444e+00
2.54000e+00 3.07100e+02 3.82753e+00 3.82753e+00
2.82000e+00 2.71600e+02 3.28938e+00 3.28938e+00
3.13000e+00 2.38600e+02 2.78568e+00 2.78568e+00
3.46000e+00 2.05000e+02 2.34094e+00 2.34094e+00
3.83000e+00 1.76600e+02 2.02485e+00 2.02485e+00
4.22000e+00 1.48900e+02 1.70880e+00 1.70880e+00
4.65000e+00 1.26600e+02 1.39284e+00 1.39284e+00
5.12000e+00 1.05600e+02 1.17047e+00 1.17047e+00
5.63000e+00 8.69300e+01 9.64624e-01 9.64624e-01
6.19000e+00 7.20300e+01 8.06536e-01 8.06536e-01
6.78000e+00 5.94500e+01 6.67308e-01 6.67308e-01
7.42000e+00 4.80600e+01 5.40833e-01 5.40833e-01
8.12000e+00 3.90800e+01 4.49444e-01 4.49444e-01
8.87000e+00 3.19300e+01 3.73363e-01 3.73363e-01
9.68000e+00 2.58100e+01 3.00832e-01 3.00832e-01
1.06000e+01 2.08200e+01 2.46982e-01 2.46982e-01
1.20000e+01 1.51200e+01 1.77200e-01 1.77200e-01
1.48000e+01 9.02500e+00 1.06738e-01 1.06738e-01
1.97000e+01 4.31800e+00 5.16624e-02 5.16624e-02
2.81000e+01 1.66400e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.87500e-01 7.63217e-03 7.63217e-03
5.91000e+01 2.09300e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.56100e-02 1.13600e-03 1.13600e-03
