# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.08000e+00 1.72700e+03 4.88365e+01 4.88365e+01
1.25000e+00 1.57500e+03 3.47131e+01 3.47131e+01
1.42000e+00 1.40700e+03 2.57099e+01 2.57099e+01
1.61000e+00 1.22400e+03 1.96469e+01 1.96469e+01
1.81000e+00 1.04300e+03 1.55242e+01 1.55242e+01
2.04000e+00 8.82300e+02 1.18680e+01 1.18680e+01
2.27000e+00 7.26200e+02 9.20489e+00 9.20489e+00
2.54000e+00 6.04000e+02 7.30821e+00 7.30821e+00
2.82000e+00 4.92500e+02 5.75674e+00 5.75674e+00
3.13000e+00 4.02600e+02 4.64866e+00 4.64866e+00
3.46000e+00 3.26500e+02 3.70000e+00 3.70000e+00
3.83000e+00 2.65900e+02 2.94109e+00 2.94109e+00
4.22000e+00 2.12700e+02 2.30868e+00 2.30868e+00
4.65000e+00 1.72100e+02 1.89737e+00 1.89737e+00
5.12000e+00 1.37200e+02 1.48661e+00 1.48661e+00
5.63000e+00 1.09900e+02 1.17047e+00 1.17047e+00
6.19000e+00 8.80300e+01 9.70824e-01 9.70824e-01
6.78000e+00 7.00300e+01 7.74919e-01 7.74919e-01
7.42000e+00 5.63300e+01 6.26259e-01 6.26259e-01
8.12000e+00 4.43500e+01 5.03289e-01 5.03289e-01
8.87000e+00 3.55300e+01 4.08534e-01 4.08534e-01
9.68000e+00 2.83700e+01 3.23110e-01 3.23110e-01
1.06000e+01 2.27600e+01 2.69258e-01 2.69258e-01
1.20000e+01 1.62700e+01 1.89737e-01 1.89737e-01
1.48000e+01 9.42500e+00 1.10164e-01 1.10164e-01
1.97000e+01 4.36900e+00 5.26308e-02 5.26308e-02
2.81000e+01 1.67800e+00 2.08806e-02 2.08806e-02
4.10000e+01 5.81900e-01 7.57694e-03 7.57694e-03
5.91000e+01 2.09400e-01 2.86531e-03 2.86531e-03
8.48000e+01 7.53100e-02 1.13851e-03 1.13851e-03
