# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 5.40100e+01 1.52411e+00 1.52411e+00
2.04000e+00 5.30200e+01 1.22919e+00 1.22919e+00
2.27000e+00 5.06500e+01 1.04062e+00 1.04062e+00
2.54000e+00 4.70600e+01 8.71149e-01 8.71149e-01
2.82000e+00 4.38000e+01 7.50733e-01 7.50733e-01
3.13000e+00 3.86700e+01 6.51153e-01 6.51153e-01
3.46000e+00 3.41700e+01 5.59732e-01 5.59732e-01
3.83000e+00 2.95500e+01 4.68615e-01 4.68615e-01
4.22000e+00 2.55600e+01 3.98246e-01 3.98246e-01
4.65000e+00 2.16000e+01 3.34215e-01 3.34215e-01
5.12000e+00 1.82300e+01 2.84253e-01 2.84253e-01
5.63000e+00 1.53100e+01 2.34307e-01 2.34307e-01
6.19000e+00 1.25300e+01 1.92094e-01 1.92094e-01
6.78000e+00 1.05200e+01 1.64012e-01 1.64012e-01
7.42000e+00 8.58900e+00 1.35724e-01 1.35724e-01
8.12000e+00 7.07900e+00 1.13569e-01 1.13569e-01
8.87000e+00 5.90800e+00 9.64261e-02 9.64261e-02
9.68000e+00 4.71800e+00 7.85684e-02 7.85684e-02
1.06000e+01 3.90200e+00 6.65282e-02 6.65282e-02
1.20000e+01 2.84100e+00 4.38292e-02 4.38292e-02
1.48000e+01 1.72500e+00 2.60768e-02 2.60768e-02
1.97000e+01 8.42500e-01 1.26270e-02 1.26270e-02
2.81000e+01 3.33300e-01 5.24786e-03 5.24786e-03
4.10000e+01 1.19100e-01 2.12603e-03 2.12603e-03
5.91000e+01 4.55200e-02 9.83514e-04 9.83514e-04
8.48000e+01 1.72800e-02 4.70106e-04 4.70106e-04
