# Rigidity	Flux	ErrInf	ErrSup
# - Original File in Rigidity
1.81000e+00 1.06900e+02 2.64197e+00 2.64197e+00
2.04000e+00 9.36400e+01 1.93869e+00 1.93869e+00
2.27000e+00 8.21100e+01 1.52003e+00 1.52003e+00
2.54000e+00 7.20900e+01 1.22613e+00 1.22613e+00
2.82000e+00 6.43900e+01 1.04809e+00 1.04809e+00
3.13000e+00 5.52600e+01 8.82383e-01 8.82383e-01
3.46000e+00 4.64600e+01 7.26223e-01 7.26223e-01
3.83000e+00 3.81300e+01 5.78014e-01 5.78014e-01
4.22000e+00 3.16000e+01 4.78017e-01 4.78017e-01
4.65000e+00 2.61200e+01 3.86005e-01 3.86005e-01
5.12000e+00 2.13400e+01 3.22025e-01 3.22025e-01
5.63000e+00 1.78900e+01 2.72029e-01 2.72029e-01
6.19000e+00 1.42800e+01 2.14009e-01 2.14009e-01
6.78000e+00 1.14800e+01 1.78045e-01 1.78045e-01
7.42000e+00 9.34600e+00 1.45245e-01 1.45245e-01
8.12000e+00 7.57000e+00 1.20104e-01 1.20104e-01
8.87000e+00 6.07400e+00 9.85951e-02 9.85951e-02
9.68000e+00 5.00200e+00 8.28794e-02 8.28794e-02
1.06000e+01 4.03900e+00 6.79412e-02 6.79412e-02
1.20000e+01 2.92700e+00 4.52217e-02 4.52217e-02
1.48000e+01 1.74400e+00 2.60768e-02 2.60768e-02
1.97000e+01 8.36800e-01 1.25399e-02 1.25399e-02
2.81000e+01 3.31700e-01 5.21536e-03 5.21536e-03
4.10000e+01 1.22500e-01 2.20227e-03 2.20227e-03
5.91000e+01 4.55300e-02 9.90858e-04 9.90858e-04
8.48000e+01 1.67000e-02 4.64004e-04 4.64004e-04
